player,team,total_xt_added,positive_actions,avg_xt_per_action
Cristian Gonzalo Olivera Ibarra,LAFC,0.10377424650961775,5,0.02075484930192355
Filip Yavorov Krastev,LAFC,0.09988245568449833,5,0.019976491136899664
Victor Ulloa,Inter Miami,0.036233330677270685,6,0.006038888446211781
Andrew Privett,Charlotte,0.2257675508159667,32,0.007055235962998959
Karol Świderski,Charlotte,0.3722399361053119,27,0.013786664300196738
Brandt Bronico,Charlotte,0.4021497350436544,30,0.013404991168121815
Carlos Joaquim Dos Santos,Inter Miami,0.25392208374000713,41,0.00619322155463432
Ashley Westwood,Charlotte,0.40806954832017145,36,0.011335265231115874
Kristijan Kahlina,Charlotte,0.3450418843822673,35,0.009858339553779065
Enzo Nahuel Copetti,Charlotte,0.23197401710645946,15,0.015464934473763963
Jere Juhani Uronen,Charlotte,0.3076316172203606,30,0.010254387240678686
Gregore de Magalhães Silva,Inter Miami,0.35452830087021886,39,0.009090469253082534
Kamil Jóźwiak,Charlotte,0.16644460069063483,14,0.01188890004933106
Nathan Byrne,Charlotte,0.2966056533385009,23,0.01289589797123917
Kerwin Calderón Vargas,Charlotte,0.30155765415874813,17,0.01773868553874989
Adilson Malanda,Charlotte,0.1910570072543583,26,0.007348346432859935
Justin Meram,Charlotte,0.09847908428354593,11,0.008952644025776902
Brecht Dejaegere,Charlotte,0.06019850453000162,7,0.008599786361428803
Scott Arfield,Charlotte,0.10167837435903863,5,0.020335674871807728
Christian Dannemann Eriksen,Denmark,0.806923234701674,56,0.014409343476815608
Joachim Andersen,Denmark,1.015826093227665,120,0.008465217443563875
Miloš Degenek,Australia,0.6744903953825607,63,0.010706196752104139
Mitchell Thomas Duke,Australia,0.3244646383635288,28,0.011588022798697457
Mathew Ryan,Australia,0.5283844488357611,75,0.0070451259844768145
Mathew Leckie,Australia,0.5454416870321062,41,0.013303455781270882
Aziz Eraltay Behich,Australia,0.8709248480102542,71,0.012266547155074001
Craig Goodwin,Australia,0.4575454826084936,29,0.01577743043477564
Kye Rowles,Australia,0.2687551422065896,89,0.003019720698950445
Andreas Skov Olsen,Denmark,0.5688348166124129,26,0.021878262177400496
Rasmus Nissen Kristensen,Denmark,0.33144369534128076,27,0.012275692420047436
Aaron Mooy,Australia,0.8951716506731663,82,0.010916727447233735
Riley McGree,Australia,0.37765852507277264,20,0.018882926253638632
Jesper Lindstrøm,Denmark,0.4165384815554479,24,0.01735577006481033
Jackson Irvine,Australia,0.4468835421436167,44,0.010156444139627652
Harry Souttar,Australia,0.43276719423981325,65,0.006657956834458665
Keanu Baccus,Australia,0.2670236216389703,27,0.009889763764406308
Alexander Hartmann Bah,Denmark,0.39228288941481815,32,0.012258840294213067
Robert Skov,Denmark,0.2656956994719187,11,0.024154154497447154
Bailey Wright,Australia,0.08490779655923708,2,0.04245389827961854
Jamie MacLaren,Australia,0.08865782975425641,4,0.022164457438564104
Saša Lukić,Serbia,0.2790122042047018,49,0.005694126616422486
Sergej Milinković-Savić,Serbia,0.24013090451256386,24,0.010005454354690161
Filip Kostić,Serbia,0.9176127937768567,42,0.02184792366135373
Nikola Milenković,Serbia,0.22017750632261748,46,0.004786467528752554
Vanja Milinković Savić,Serbia,0.43886253397526137,47,0.009337500722877902
Strahinja Pavlović,Serbia,0.6273952423690831,87,0.007211439567460725
Andrija Živković,Serbia,0.20056208497356773,16,0.012535130310847983
Dušan Tadić,Serbia,0.6622681496667842,36,0.018396337490744003
Gregor Kobel,Switzerland,0.14808976823092967,17,0.00871116283711351
Aleksandar Mitrović,Serbia,0.18321028972736955,17,0.010777075866315856
Dušan Vlahović,Serbia,0.0075502075554678555,2,0.0037751037777339277
Nemanja Gudelj,Serbia,0.04892418456889174,26,0.0018816994064958363
Luka Jović,Serbia,0.09023616298092699,8,0.011279520372615873
Nemanja Maksimović,Serbia,0.14656717092202773,19,0.007714061627475143
Edimilson Fernandes,Switzerland,0.04051373052965592,8,0.00506421631620699
Nemanja Radonjić,Serbia,0.1189144648486028,8,0.01486430810607535
Noah Okafor,Switzerland,0.02162746634134493,2,0.010813733170672465
Enzo Fernandez,Argentina,0.4419553282150116,88,0.00502221963880695
